;Unnamed: 0;ID;descr;feat_balkon;feat_domofon / wideofon;feat_drzwi / okna antywłamaniowe;feat_internet;feat_pom. użytkowe;feat_telefon;feat_telewizja kablowa;feat_teren zamknięty;ov_Liczba pięter;ov_Liczba pokoi;ov_Piętro;ov_Powierzchnia;ov_Rodzaj zabudowy;ov_Rynek;ov_Czynsz;ov_Dostępne od;ov_Forma własności;ov_Materiał budynku;ov_Ogrzewanie;ov_Okna;ov_Rok budowy;ov_Stan wykończenia;feat_garaż/miejsce parkingowe;feat_ogródek;feat_piwnica;feat_taras;feat_winda;feat_monitoring / ochrona;feat_system alarmowy;feat_klimatyzacja;feat_oddzielna kuchnia;feat_kuchenka;feat_meble;feat_piekarnik;feat_lodówka;feat_zmywarka;feat_pralka;feat_dwupoziomowe;feat_telewizor;feat_rolety antywłamaniowe;feat_
11106;11106;44cJx;Do nabycia bez prowizji nowe  2 pokoje 39 m2 w inwestycji realizowanej w sąsiedztwie zagłębia biurowego Cybernetyki/Marynarska ( tzw. Mordor ) i lotniska Chopina.Bogata infrastruktura usługowa, w tym lokale gastronomiczne oraz sklepy spożywcze, Galeria Mokotów, tereny rekreacyjne min. Tor wyścigów Konnych Służewiec. Rozwinięta komunikacja, min. przystanki autobusowe, stacja SKM Okęcie, linie tramwajowe na Marynarskiej, metro Wilanowska. Dzięki sąsiedztwu lotniska i terenów biurowych świetna okazja na inwestycję pod najem zarówno długo jak i krótkoterminowy.New 39 m2 available in near proximity of buisness and office area of Cybernetyki/Marynarska streets as well as Chopin Airport.Near Galeria Mokotow shopping centre, Sluzewiec Horse Race Track. Excellent public transport system including bus lines, Okecie train station, tram lines on Marynarska street and metro Wilanowska station. Thanks to both the airport and business office areas great long and short term rental investment.0% fee and PccKELT Properties is an independent advisor on Polish primary market. We charge no comission from the client.;1.0;1.0;1.0;1.0;;1.0;1.0;;4.0;2;3;39,57 m²;apartamentowiec;pierwotny;;2020-12-01;pełna własność;silikat;miejskie;plastikowe;2020.0;do wykończenia;1.0;;;;1.0;1.0;;;;;;;;;;;;;
11121;11121;440aM;*BEZ PROWIZJI! *Prosto od Dewelopera*Inwestycja Lifetown - GREEN zlokalizowana jest na warszawskim Ursynowie przy ulicy Kłobuckiej 6. Lokalizację charakteryzuje bliskość licznych punktów handlowo-usługowych, biurowców oraz terenów zielonych. Osiedle jest bardzo dobrze skomunikowane z pozostałymi częściami miasta. Niedaleko znajduje się południowa obwodnica Warszawy, a tuż przy inwestycji kilka linii autobusowych, z których dwie dowożą do znajdującej się niedaleko linii metra - dojazd do metra Stokłosy zajmuje 10 min., również 10 min. zajmuje dojazd do Galerii Mokotów. Dla miłośników dwóch kół dostępna jest wypożyczalnia rowerów Veturilo. W pobliżu inwestycji znajduje się tor wyścigów konnych i kilka parków dających możliwość atrakcyjnego spędzania czasu wolnego, np. tj. Park Wyczółki Łączyny. Dla rodzin z dziećmi w wieku szkolnym dużym atutem jest bliskość szkoły podstawowej oddalonej od inwestycji o 4 minuty jazdy samochodem.Na terenie osiedla zaprojektowano malownicze jeziorko. Specjalnie dla komfortu mieszkańców deweloper wyposaży teren osiedla w wi-fi oraz multimedialne ławki, umożliwiające ładowanie urządzeń elektronicznych. Przestrzeń wspólną dopełni kolorowy plac zabaw, pełen atrakcji dla dzieci w różnym wieku. Wszystkie mieszkania posiadać będą w innowacyjny pakiet SMART HOME, umożliwiający zdalne administrowanie systemem ochrony oraz elektryczności. W celu zapewnienia najwyższego poziom bezpieczeństwa osiedle będzie monitorowane, a lokale wyposażone w wideofony.To, co stanowi niewątpliwą wartość to fakt, że właściciele mieszkań otrzymują prawo własności gruntu.Główne parametry:Powierzchnia całkowita - 40,95 m2Wysokość - 2,70 mSalon + aneks - 19,99 m2Pokój - 10,75 m2Łazienka - 4,23 m2Hol - 5,16 m2Balkon - 3,34 m2Wymagana wpłata na umowę rezerwacyjna - 15 000 PLN. Cena za garaż - 30 000 PLN.Cena komórki lokatorskiej - 8 000 - 24 000 PLN.LIFETOWN - GREEN to 43 lokale 2 lub 3 pokojowe o metrażu od 39,57 m2 do 65,3 m2, w cenie już od 392 000 - 705 000 PLN. IM WCZEŚNIEJ SIĘ PAŃSTWO ZAINTERESUJĄ, TYM WIĘKSZY BĘDZIE WYBÓR MIESZKAŃ!Ponadto posiadam w swojej ofercie również mieszkania i apartamenty w innych inwestycjach na terenie całej Warszawy.Zapraszam do kontaktu, Ela - 884-808-304.Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.;1.0;;;;1.0;;;;4.0;2;2;40,95 m²;;pierwotny;;2020-12-31;pełna własność;;;;2020.0;;1.0;;;;;;;;;;;;;;;;;;
11131;11131;411FA;Nieruchomość położona w pobliżu ścisłego centrum Warszawy. Świetna komunikacja dzięki tramwajom i autobusom. 4 przystanki do metra Rondo Daszyńskiego.Mieszkanie jest świeżo odmalowane, do zamieszkania. Składa się z salonu z kuchnią, 2 sypialni oraz łazienki z osobnym Wc.Przynależy do niego taras o pow. 12m2. Istnieje możliwość dokupienia m.post w garażu na 2 auta (55tys zł)Osiedle jest chronione, w okolicy znajduje się wiele sklepów.Okolica jest cicha a sąsiedzi bardzo spokojni.Zapraszam do obejrzenia mieszkania.;;;;;;;;;;3;;66 m²;;wtórny;;;;;;;2002.0;;;;;;;;;;;;;;;;;;;;
11135;11135;41lTy;"Jeśli poszukujesz przyjemnego miejsca do życia - zapoznaj się z ofertą mieszkania na warszawskiej Pradze - Południe. W SKRÓCIE :Gocław, ul. Okulickiego - dużo zieleni, cisza a w pobliżu pełna miejska infrastruktura.Mieszkanie - rozkładowe, jasne i przytulne, trzypokojowe na 3 piętrze budynku z lat 90-tych, bez windyŚwietna oferta dla rodziny, korzystna dla inwestora.MIESZKANIE: składa się z:- przestronnego, jasnego salonu (22 m2) z wyjściem na balkon ( 6 m2);- oddzielnej, widnej, urządzonej i wyposażonej kuchni ( 8 m2)- połączonej z kuchnią jadalni z oknem (11 m2)- sypialni (12 m2)- przedpokoju - funkcjonalnej łazienki z wanną - wc Lokal z oryginalnym wykończeniem sprzed lat. W 2011 została wyremontowana kuchnia. Zabudowana pod wymiar, nowa podłoga, szafki, blaty, lodówka w zabudowie, pływa gazowa, piekarnik elektryczny. Reszta mieszkania wymaga nowej aranżacji. Okna nowe PCV, w jadalni na podłodze drzewo egzotyczne. Ogromny atut tego mieszkania to widok z okien, szczególnie balkon daje poczucie dużej przestrzeni i intymności - kolejne budynki są w dalekiej odległości.BUDYNEK:Niski, zadbany, po remontach i pracach renowacyjnych. Otoczenie budynku jest czyste, estetyczne i zielone. W okolicy jest bezpiecznie. Mieszkanie posiada komórkę lokatorską jako pomieszczenie przynależne o powierzchni 3,80 m2Nieruchomość w spokojnej okolicy, obok Kanału Gocławskiego, blisko jeziora Balaton. Wokół tereny i ośrodki rekreacyjne, basen, kręgielnia, skwery, ścieżki rowerowe. Liczne sklepy, pobliskie galerie handlowe, miejsca usługowe, placówki edukacyjne, punkty medyczne i ochrony zdrowia oraz urzędy.KOMUNIKACJA:Miejsce bardzo dobrze skomunikowane: nieopodal przystanki, z których odjeżdżają liczne linie autobusowe - dojazd do centrum około 20 min. Most Siekierkowski pozwala na sprawną komunikację z każdą częścią stolicy a bliskość Trasy Siekierkowskiej umożliwia łatwy wyjazd z miasta.OPŁATY I STAN PRAWNY:Czynsz wraz z funduszem remontowym dla dwóch osób - 760 złForma własności - odrębna własność z KW - można zakupić na kredyt, grunty w użytkowaniu wieczystym w trakcie przekształcania.Serdecznie zapraszam do umówienia się na prezentację.";1.0;1.0;1.0;;1.0;;;;3.0;3;3;64,79 m²;blok;wtórny;;;pełna własność;;miejskie;;1994.0;;;;;;;;;;;;;;;;;;;;
11147;11147;42E9M;"UWAGA! KUPUJĄCY NIE PŁACI PROWIZJI !!! Luksusowy penthouse w samym sercu miasteczka Wilanów, tuż przy Osi Królewskiej. Apartament znajduje się na ostatnim 4-tym piętrze i składa się z: Przestrony salon z otwartą kuchnią o powierzchni 48m2, z wyjściem na taras - 7,3 m23 sypialnie - 11,3 m2; 12,6 m2; 12,5 m2Gabinet - 13,5 m2Łazienka z dwoma umywalkami oraz dwuosobową wanna z hydromasażem - 6 m2Łazienka z prysznicem - 2,6 m2Pomieszczenie gospodarcze/pralnia - 2,8 m2Dodatkowo loggia - 3,8 m2 Apartament urządzony w wysokim standardzie, w salonie znajduje się kominek wykończony trawertynem. Do wykończenia mieszkania użyto wysokiej jakości materiałów - na podłodze parkiet z drewna egzotycznego Merbau i Tauari, na ścianach - gładź gipsowa we wszystkich pomieszczeniach, w kuchni meble na zamówienie z drewna Jatoba, granitowy blat (cashmere white) oraz wysokiej klasy sprzęt AGD.W łazienkach również szafki i obudowa wanny z drewna Jatoba, umywalki i toalety firmy Kohler oraz Duravit, wanna z hydromasażem Riho.W gabinecie duża szafa wnękowa oraz dwa funkcjonalne schowki z przesuwanym drzwiami. Apartament dwustronny - salon i jedna sypialnia skierowane są na zachód, dwie sypialnie i gabinet na wschód. Powierzchnia to : 109,38 m2 + 3,66m2 stanowi korytarz wynajmowany od wspólnoty . Na poziomie (- 1 ) znajduje się szerokie, podwójne miejsce parkingowe na dwa samochody typu SUV oraz wnęka, w której można wstawić np. półki - płatne dodatkowo 70 tys. zł.Na tym samym poziomie, co garaż znajduje się duża piwnica/magazyn (12,8 m2) płatna dodatkowo 50 tys. zł (zakup nieobowiązkowy)Świetna lokalizacja - budynek znajduje się z dala od ruchliwych ulic, w spokojnym rejonie Miasteczka Wilanów, tuż przy Osi Królewskiej. Zapraszam do kontaktu i na prezentację nieruchomości ! Emilia Józefik - 603-916-797";1.0;;;;;;;;4.0;5;4;113 m²;;wtórny;;;pełna własność;;;;2011.0;;1.0;;1.0;1.0;;;;;;;;;;;;;;;
11449;11449;43bvF;Opis:2-pokojowe mieszkanie znajduje się w kamienicy położonej w ścisłym centrum Warszawy. Dwustronne - okna na ciche podwórze z widokiem na Plac ZbawicielaW skład lokalu wchodzi:- salon (27m2),- pokój (11m2),- kuchnia (6,9m2),- Łazienka (3m2),- przedpokój (9m2).Lokalizacja:Mieszkanie leży przy ulicy Marszałkowskiej. W bliskiej odległości do Pl. Zbawiciela oraz Metro Politechnika.Komunikacja:Tuż obok znajdują się liczne przystanki autobusowe i tramwajowe.Zapraszam do kontaktu telefonicznego i na prezentację! :-)Joanna SzpakowskaDoradca ds NieruchomościTel: 884 356 222Niniejsza informacja nie stanowi oferty w rozumieniu Kodeksu Cywilnego. Dokładamy wszelkich starań, aby informacje dotyczące oferowanych obiektów były możliwie dokładne, kompletne i aktualne. Ze względu jednak na fakt, iż informacje te pochodzą od osób trzecich i nie zawsze dają się zweryfikować, firma KOLOSEUM NIERUCHOMOŚCI nie ponosi odpowiedzialności za ich dokładność, kompletność oraz aktualność. Numer licencji pośrednika odpowiedzialnego za ofertę: 19837;;;;1.0;;;1.0;;5.0;2;1;56 m²;kamienica;wtórny;400 zł;2020-01-26;pełna własność;inne;miejskie;plastikowe;;do zamieszkania;;;;;;;;;1.0;;;;;;;;;;
11533;11533;43QKi;Kameralny apartamentowiec na granicy Ochoty i Włoch.Trzypiętrowy budynek usytuowany jest w unikalnym otoczeniu zieleni oraz niskiej zabudowy. Wokół budynku rośnie 12 dorodnych lip i klonów, które wraz z innymi otaczającymi działkę drzewami tworzą szczególną przestrzeń do mieszkania.Apartament w układzie obecnie 3-pokojowym z możliwością aranżacji jako apartament 4-pokojowy. Mieszkanie  położone na pierwszym piętrze.Ekspozycja północno-wschodnia i północno-zachodnia, duży balkon ok.8 m2.Do mieszkania przynależy miejsce postojowe w garażu podziemnym płatne dodatkowo 30 000 PLN. Nieruchomość z założoną księgą wieczystą, własność gruntu.W budynku dostępne są jeszcze również mieszkania 4, 5 i 6 pokojowe.Blisko komunikacja miejska - liczne linie tramwajowe oraz autobusowe w al. Krakowskiej.W odległości dwóch przystanków tramwajowych zlokalizowana jest stacja kolei łączącej lotnisko z centrum. Znakomita lokalizacja względem tras wylotowych z miasta.W zasięgu 8 min. spacerem znajduje się OSiR Włochy z zespołem basenów i zajęć fitness obok korty tenisowe i squash. Nie więcej niż 5 min. sklepy (Biedronka, Lidl, Aldi, Rossmann).Centrum handlowe MODO ze sklepami odzieżowymi, supermarketem Piotr i Paweł, Biedronka oraz sklepem Media Expert rownież w zasiegu krótkiego spaceru. W najbliższym otoczeniu znajdują się także szkoły i przedszkola (prywatne i państwowe).Polecam i zapraszam na prezentację.Wszelkie informacje dotyczące nieruchomości zamieszczone przez Emmerson nie stanowią oferty w rozumieniu Kodeksu Cywilnego. Dokładamy najwyższej staranności, aby przedmiotowe informacje były zaprezentowane możliwe najbardziej szczegółowo i wyczerpująco, jednak wobec faktu, że pochodzą one od innych osób, Emmerson nie ponosi odpowiedzialności za ich szczegółowość i dokładność.;;;;;;;;;3.0;4;1;71,25 m²;apartamentowiec;wtórny;;2019-10-28;pełna własność;cegła;inne;;2019.0;;;;;;1.0;;;;;;;;;;;;;;
11552;11552;4499e;Świetna oferta od dewelopera! Kapitalna inwestycja!Termin oddania: III kwartał 2021r. Kupujący nie płaci prowizji oraz jest zwolniony z podatku PCC2%!Cena: 665 000 PLN (Miejsce postojowe: 60 000 PLN )Powierzchnia: 51,98m2Przedstawiam państwu wyjątkową inwestycję zlokalizowaną na skraju trzech Warszawskich dzielnic – Woli, Żoliborza i Śródmieścia. Osiedle, mimo swej bardzo bliskiej odległości do centrum jest otoczone zielenią, co pozwala na chwilę oddechu od zgiełku miastka. Świetną komunikację z praktycznie wszystkimi częściami miasta zapewnią zarówno autobusy i tramwaje ale także metro i pociąg. Odległość do przystanków autobusowych i tramwajowych – 120 metrów i 260 metrów, do metra i pociągu – 750 metrów.W ofercie również inne mieszkania i inne metraże, zapraszam do kontaktu w celu uzyskania informacji.Trzypokojowe mieszkanie składa się z przestronnego holu, pokoju dziennego z aneksem kuchennym o wielkośći ponad 17m2, dwóch sypialni(13m2 i 7,72m2), łazienki, garderoby oraz dużego, ponad 13m2 tarasu. Ekspozycja okien - wschodnia.Na zdjęciach jest pokazana przykładowa aranżacja. Mieszkanie w stanie DEWELOPERSKIM. Posiadam w ofercie pakiety wykończeniowe od 690 zł/m2. Przy zakupie z pakietem wykończeniowym bezpłatna konsultacja z architektem.Mieszkanie idealnie nadaje się pod inwestycję! Nasi doradcy z POWER FINANCES pomogą w uzyskaniu najlepszego finansowania/kredytu w rozumieniu Państwa potrzeb.Opiekun oferty:Maksymilian Kalacińskitel. 574 741 958mail: Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.;;;;;1.0;;;;9.0;3;parter;52 m²;apartamentowiec;pierwotny;;;;;miejskie;;2021.0;do wykończenia;1.0;;1.0;;1.0;1.0;;;;;;;;;;;;;
11612;11612;41XaV;3 pokojowe mieszkanie z przepięknym widokiem na Warszawę ,usytuowane na 13 piętrze na Gocławiu przy ul. Gen Bora-Komorowskiego. Mieszkanie jest ciche i słoneczne- strona wschodnio-południowa. Mieszkanie składa się z salonu z aneksem kuchennym (30,95 mkw), sypialni (10,81 mkw) gabinetu (10,47 mkw), garderoby z pralką i suszarką, łazienki z prysznicem (4,67 mkw), przedpokoju z szafami wnękowymi i loggi (4,57 mkw) z widokiem na Warszawę.Istnieje możliwość zakupu mebli.Mieszkanie jest wykończone i gotowe do zamieszkania.Dodatkowe informacje: Czynsz 600 zł.Dodatkowo 2 miejsca postojowe w garażu podziemnym - każde po 30 tysięcy złotych - osobne księgi wieczyste. Typ własności: spółdzielcze własnościowe prawo do lokalu. Budynek:Budynek z 2009 r- osiedle ogrodzone z ochroną 24/h i zadbanym patio. Lokalizacja:Mieszkanie znajduje się w świetnej lokalizacji na zielonym Gocławiu. W pobliżu pełna infrastruktura usługowo-handlowa: bank, apteka, przychodnia, park nad Balatonem z placem zabaw dla dzieci, szpital, bazarek osiedlowy, centrum handlowe, żłobek, przedszkole.Bardzo dobra komunikacja-przy budynku znajduje się przystanek z licznymi liniami autobusowymi.PodstawowePowierzchnia :  74,75 m2Cena :  750 000 PLNPokoi : 3Piętro : 13PodstawoweCena m2 :  10 033,44 PLNStan lokalu : Bardzo dobryCzynsz administracyjny :   600 PLNPomieszczeniaTyp mieszkania : MieszkaniePowierzchnia salonu : 30 m2Typ kuchni : OtwartaLiczba łazienek : 2Typ okien : PCV, Powierzchnia dodatkowaLiczba balkonów : 1Typ balkonów : Loggia, Piwnica : NieKomórka : NieOgród : NieMedia i wyposażenieOgrzewanie : CO miejskie, Ciepła woda : Wodociąg miejski, Gaz : NieMiejsca parkingoweParking podziemny : 2Cena za 1Parking podziemny : 30 000 PLNBudynekRok : 2007Stan budynku : Bardzo dobryMateriał : ŻelbetonPięter : 15Winda : TakOpisWyposażenie kuchni : Lodówka, Meble w zabudowie kuchennej, Piekarnik, Płyta indukcyjna, Wyposażenie łazienek : Umywalka, Wanna, WC, Więcej podobnych ofert nieruchomości na Link do oferty: mieszkania[.]maxon[.]pl/oferta/50010_MS_MAX_OPrezentowane oferty nie stanowią oferty w rozumieniu Kodeksu Cywilnego. Staramy się, aby informacje dotyczące oferowanych obiektów były możliwie dokładne, kompletne i aktualne. Ze względu na okoliczności, iż informacje te pochodzą od osób trzecich i część z nich nie zawsze daje się zweryfikować, MAXON Nieruchomości Sp. z o.o. nie ponosi odpowiedzialności za ich dokładność, kompletność i aktualność;1.0;1.0;;;;;;;15.0;3;"&gt; 10";74,75 m²;apartamentowiec;wtórny;;2019-08-01;;beton;miejskie;plastikowe;2007.0;do zamieszkania;;;;;1.0;;;;;;;;;;;;;;
11941;11941;448R3;4 pokoje, dla rodziny, przy metrze Natolin.Do odświeżenia, pierwsze piętro, zielona okolica.Główne atuty nieruchomości: • doskonała komunikacja z centrum• cicha i spokojna okolica• rozkład pomieszczeńNieruchomość złożona z: • salon 18,92 m.kw• sypialnia 12,36 m.kw• sypialnia 11,72 m.kw• kuchnia zamykana z oknem 12,81 m.kw• łazienka główna 4,08 m.kw• przedpokój 14,44 m.kw• sypialnia 9,59 m.kw• wc 1,21 m.kw W skład nieruchomości wchodzą też:• balkon• komórka lokatorskaTyp ogrzewania: ogrzewanie miejskie. Typ własności: własność. Zapraszam na prezentację 4-pokojowego mieszkania, składającego się z salonu i 3 sypialni oraz oddzielnej kuchni, łazienki i WC. Duży balkon ok 6 m.kw. Przestronne wnętrze dla większej rodziny. Mieszkanie do odświeżenia. Na podłodze w dobrym stanie parkiet dębowy. Okna  drewniane po wymianie. Ekspozycja północ - południe.Budynek ocieplony, elewacja po modernizacji. Wymienione instalacje wodne i gazowe. Instalacja elektryczna - miedziana.Możliwość parkowania na zamkniętym osiedlowym parkingu. Z okien widok na Sadek Natoliński.300 m do stacji metra Natolin, obok też szkoła podstawowa i przedszkole, Galeria Ursynów i Park przy Bażantarni.Obok metra, w cichej i zielonej okolicy.Oferta dostępna tylko w Metrohouse. ZADZWOŃ: 517 150 786. Czekamy na telefon od Ciebie. ---Zakup lub najem nieruchomości przez Agencję Metrohouse to:• największy wybór na rynku• elastyczne podejście do Klienta• bezpieczeństwo transakcji• możliwość skorzystania z szerokiej oferty kredytów gotówkowych i hipotecznych• doświadczeni doradcyPomimo, iż Doradcy Metrohouse przykładają szczególną staranność do rzetelnego prezentowania informacji o nieruchomości, nie zawsze jest możliwa weryfikacja wszystkich danych przekazanych od osób trzecich. Niniejsza prezentacja oferty nie jest ofertą w rozumieniu Kodeksu Cywilnego i ma charakter wyłącznie informacyjny.;1.0;;;;1.0;;;;3.0;4;1;85,20 m²;blok;wtórny;;;;inne;miejskie;;1989.0;do remontu;;;;;;;;;1.0;;;;;;;;;;
12059;12059;3JWHe;"LARIX GARDEN to najnowsza warszawska inwestycja firmy P.P.H.U. „CORPORES” Sp. z o. o., zlokalizowana w rejonie Fortu Chrzanów, na terenie dynamicznie rozwijającej się Dzielnicy Bemowo.
Wyjątkowe miejsce, położone w zachodniej części stolicy pozwala na zachowanie harmonii pomiędzy aktywnym życiem miejskim a dającą wytchnienie przyrodą. Dynamicznie rozwijająca się infrastruktura miasta oraz dzielnicy umożliwia dogodne połączenia komunikacyjne, rekreację i kontakt z naturą. Planowana jest stacja II linii metra Chrzanów oraz ostatnia stacja Mory z różnorodnymi usługami. W bliskim sąsiedztwie istnieje wiele przedszkoli, szkół, gabinetów opieki medycznej czy też centra sportowe, handlowe i tereny rekreacyjne (m. in. Glinianki Sznajdra czy Park Górczewska).
Projekt Larix Garden stanowi zespół dwóch wielorodzinnych budynków o sześciu i czterech kondygnacjach z lokalami usługowymi w parterze i garażem podziemnym, w którym dostępne będą również komórki lokatorskie. Niebanalna architektura i zachowane walory estetyczne osiedla są równie istotnym atutem inwestycji, w której oferujemy Państwu wszechstronny wybór mieszkań. 105 lokali od 1- do 5-pokojowych o zróżnicowanej powierzchni 38 m2 - 108 m2 z balkonami, loggiami lub tarasami. Wszystkie mieszkania zostały starannie zaprojektowane, chcąc zapewnić komfort przyszłym mieszkańcom. Zastosowane rozwiązania nawet na niedużej powierzchni zapewniają pełną funkcjonalność każdego z pomieszczeń.
Larix Garden to osiedle zaprojektowane z myślą o potrzebach tych, którzy cenią wysoką jakość i standardy, wygodę i spokój.
-
Klauzula informacyjna RODO
Zgodnie z art. 13 ust. 1 i 2 Rozporządzenia Parlamentu Europejskiego i Rady (UE) 2016/679 informujemy, że administratorem danych osobowych przetwarzanych w związku z ogłoszeniem jest Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe ""CORPORES"" Sp. z o.o. z siedzibą w Rzeszowie przy ulicy Wyspiańskiego 9/5, 35 - 111 Rzeszów, zarejestrowane pod numerem KRS 106065, dla celów podatkowy zewidencjonowane pod numerem NIP 8130336317.
Przesłane dane będą przetwarzane wyłącznie w związku związanym z przedstawieniem szczegółowej oferty i zawarciem umowy.
Wszelkie pozostałe informacje, w tym m.in. o innych danych kontaktowych, podstawach przetwarzania, przysługujących Państwu uprawnieniach, znajdziecie Państwo na naszej stronie internetowej pod adresem http://www.corpores.com.pl/polityka.html";1.0;1.0;1.0;1.0;1.0;1.0;1.0;;4.0;3;parter;82,10 m²;blok;pierwotny;;2019-04-01;pełna własność;pustak;miejskie;plastikowe;2019.0;do wykończenia;1.0;;;;1.0;;;;;;;;;;;;;;
12069;12069;44jct;Sprzedam mieszkanie położone w cichej i przyjemnej okolicy(ul Lustrzana 11) Kawalerka posiada doskonały rozkład. W budynku znajduje się tylko pięć mieszkań ,dlatego sprawia ,że oferta jest bardzo atrakcyjna. Dodatkowym atutem jest brak czynszu , budynek posiada własną kotłownię. Ten kameralny obiekt został całkowicie wyremontowany w 2019r.;;1.0;;1.0;;1.0;1.0;1.0;1.0;2;1;27,94 m²;dom wolnostojący;wtórny;;;pełna własność;cegła;gazowe;plastikowe;;do zamieszkania;;;;;;1.0;;;1.0;1.0;1.0;;1.0;;1.0;;1.0;;
12180;12180;44oEO;"_______OFERTA BEZPOŚREDNIO OD DEWELOPERA__________
Kompleks budynków mieszkalnych, apartamentowych oraz biurowych czy usługowo - handlowych
* 26 piętrowy kompleks apartamentowo biurowy 
* Klimatyzacja w całości budynku
* Duże balkony, wspaniałe tarasy
* Recepcja
* Fitness
* Lobby
* Wysokość pomieszczeń 2,9 m
Nie bez znaczenia jest fakt, że ta okolica rozwija się w ostatnim czasie bardzo szybko. Jedyna taka inwestycja w Warszawie.
Wybudowano nową linię szybkiej kolei miejskiej wzdłuż trasy Toruńskiej, którą mieszkańcy mogą dostać się w wiele ważnych miejsc warszawy. Bezpośrednio z peronu przy skrzyżowaniu z ul. Kasprzaka planowana jest wkrótce budowa nowej linii tramwajowej którą dotrzemy tunelami do nowoprojektowanego dworca zachodniego i dalej w kierunku Wilanowa. Również wkrótce otwarcie METRA Górczewska
To wszystko świadczy o olbrzymim potencjale tej lokalizacji, zarówno w wymiarze mieszkalnym, biurowym jak i hotelowym, co STWARZA WYŚMIENITE WARUNKI DO INWESTOWANIA 
Ten potencjał dostrzegli kilka lat temu główni deweloperzy, a w ostatnim czasie też wielu mniejszych i większych inwestorów. Mieszkania w tym miejscu wykupywane są w pierwszym etapie sprzedaży.
SKORZYSTAJ Z OFERTY NAJLEPSZYCH MIESZKAŃ I APARTAMENTÓW W NAJATRAKCYJNIEJSZYCH CENACH 
 
Aleksandra 
tel. 570 008 111";1.0;;;;1.0;;;;;2;;43 m²;apartamentowiec;pierwotny;;;pełna własność;;;drewniane;;do wykończenia;1.0;;1.0;;1.0;1.0;1.0;1.0;;;;;;;;;;;
12310;12310;3PtI4;Świetnie zlokalizowane mieszkanie przy  Nowy Świat.Mieszkanie wyremontowane, w dobrym stanie. Mieszkanie jest ciche, zewsząd otoczone zielenią.Mieszkanie składa się z pokój dziennego 20 m.kw sypialni 12 m.kw oddzielnej kuchni 7 m.kw, łazienki 5 m.kw oraz holl.Na podłodze znajduje się parkiet, kuchnia z nowoczesną zabudową wyposażona w sprzęt AGD.W mieszkaniu zamontowane są nowe drzwi wejściowe. Klatka schodowa w bloku jest bardzo zadbana.Mieszkanie jest w bardzo dobrej lokalizacji.Wszelkie informacje dotyczące nieruchomości zamieszczone przez Emmerson nie stanowią oferty w rozumieniu Kodeksu Cywilnego. Dokładamy najwyższej staranności, aby przedmiotowe informacje były zaprezentowane możliwe najbardziej szczegółowo i wyczerpująco, jednak wobec faktu, że pochodzą one od innych osób, Emmerson nie ponosi odpowiedzialności za ich szczegółowość i dokładność.;;;1.0;1.0;;1.0;;;4.0;2;2;50 m²;kamienica;wtórny;;;;inne;miejskie;;1950.0;;;;;;;;;;;;;;;;;;;;
12318;12318;3lhlV;***NOWY ETAP JUŻ W SPRZEDAŻY***BEZPOŚREDNIO OD DEWELOPERAWOLA UL.KASPRZAKA/PRYMASA TYSIĄCLECIANOWE MIESZKANIE 2 POKOJOWE 44m2  Z  BALKONEM 11M2usytuowane w prestiżowych budynkach 27 piętrowych z widokiem na centrum Warszawy***lokal w standardzie z klimatyzacjąmożliwość odliczenia podatku vat 23%***CENA 480 000 plnW OFERCIE POSIADAMY DUŻY WYBÓR MIESZKAŃ 1-4 POKOJOWYCH Z OGRODAMI ,BALKONAMI I TARASAMI.OSIEDLE Z WŁASNYM PARKIEM,KOMPLEKSEM FONTANN I ZIMOWYM LODOWISKIEM DO DYSPOZYCJI MIESZKAŃCÓW.Inwestycja zlokalizowana jest blisko centrum co zapewnia znakomitą komunikację zaledwie 2 km do stacji metra Rondo Daszyńskiego. A do obecnie  realizowanej kolejnej  stacji metra  Płocka na 2019 rok ok.700m. Powstaje ,też linia tramwajowa, która od 2020 roku zapewni bezkolizyjny i szybki dojazd do samego centrum zaledwie w kilka minut.Atrakcyjne własne M znajdzie tu zarówno rodzina z dziećmi, jak i inwestor szukający mieszkania pod wynajem.Więcej informacji i pełna oferta pod nr tel.  502-497-525Bezpośrednio od DEWELOPERAInwestycję stanowi kompleks budynków wyróżniający się licznymi przeszkleniami , oraz dużymi balkonami , tarasami i ogrodami.termin realizacji 2020/21 rokZADZWOŃ I WYBIERZ JUŻ TERAZ MIESZKANIE DLA SIEBIE: 502-497-525;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;12.0;2;7;44 m²;blok;pierwotny;;;;;miejskie;drewniane;2019.0;do wykończenia;1.0;;;1.0;1.0;1.0;;1.0;;;;;;;;;;;
